Country,ISO-3,Income,WHO region,WB region,National NCD targets,Mortality data,Risk factor surveys,National action plan,Tobacco tax,Smoke-free places,Graphic warnings,Tobacco advertising bans,Alcohol sale restrictions,Alcohol advertising bans,Alcohol tax,Salt policies,Fat policies,Child food marketing,Breast milk code,Physical activity mass media,Clinical guidelines,Cardiovascular therapies,Total
Afghanistan,AFG,Low income,EMRO,South Asia,0,0,0,0,0,0.5,0,0.5,1,1,1,0,0,0,0,0,0,DK,4
Albania,ALB,Upper middle income,EURO,Europe & Central Asia,0,0.5,0.5,0,0,1,0.5,1,0.5,0,0.5,0,0,0,1,1,0.5,1,8
Algeria,DZA,Upper middle income,AFRO,Middle East & North Africa,1,0,0.5,0.5,0,0.5,0,0.5,0.5,1,1,0,0,0,1,1,0,DK,7.5
Andorra,AND,High income,EURO,Europe & Central Asia,ND,1,0.5,0,0.5,0.5,0,0,0.5,0,0.5,0,0,0,0,1,0,DK,4.5
Angola,AGO,Lower middle income,AFRO,Sub-Saharan Africa,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,-,0,1
Antigua and Barbuda,ATG,High income,PAHO,Latin America & Caribbean,DK,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,2.5
Argentina,ARG,Upper middle income,PAHO,Latin America & Caribbean,1,0.5,1,0.5,0.5,1,1,0.5,0.5,0.5,0,1,1,0,1,1,0.5,0.5,12
Armenia,ARM,Upper middle income,EURO,Europe & Central Asia,1,0.5,1,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0,0,1,0,0.5,0.5,7
Australia,AUS,High income,WPRO,East Asia & Pacific,0.5,1,1,1,0,1,1,0.5,0.5,0.5,0,1,1,0,1,1,0.5,DK,11.5
Austria,AUT,High income,EURO,Europe & Central Asia,0,1,0.5,0,0.5,0,0.5,0.5,0.5,0,0,1,1,0,0,1,0,DK,6.5
Azerbaijan,AZE,Upper middle income,EURO,Europe & Central Asia,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,1,0,0,0,1,1,DK,0,6.5
Bahamas,BHS,High income,PAHO,Latin America & Caribbean,0,0.5,0.5,0,0,0,0,0,1,0.5,1,0,0,0,0,1,0,DK,4.5
Bahrain,BHR,High income,EMRO,Middle East & North Africa,1,0.5,0.5,0.5,0,0,0.5,1,ND,ND,ND,1,1,1,1,1,1,1,11
Bangladesh,BGD,Lower middle income,SEARO,South Asia,0,0,0.5,0,0.5,0,1,0.5,0.5,1,1,0,0,0,1,1,0,0,7
Barbados,BRB,High income,PAHO,Latin America & Caribbean,-,0.5,1,1,0,1,0,0,0.5,0,0.5,1,0,0,1,1,0.5,0,8
Belarus,BLR,Upper middle income,EURO,Europe & Central Asia,0,1,0.5,0,0,0,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,11.5
Belgium,BEL,High income,EURO,Europe & Central Asia,0.5,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0,1,1,0.5,DK,10.5
Belize,BLZ,Upper middle income,PAHO,Latin America & Caribbean,1,1,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,3.5
Benin,BEN,Low income,AFRO,Sub-Saharan Africa,1,0,0.5,1,0,0.5,0.5,0.5,0.5,0,1,0,0,0,0,0,0.5,0,6
Bhutan,BTN,Lower middle income,SEARO,South Asia,0.5,0,1,0,NA,1,0,0.5,1,0.5,0,0,0,0,1,1,1,0,7.5
Bolivia,BOL,Lower middle income,PAHO,Latin America & Caribbean,-,0.5,0.5,0,0,0.5,1,0.5,0.5,0.5,0.5,DK,DK,0,DK,1,0.5,ND,6
Bosnia and Herzegovina,BIH,Upper middle income,EURO,Europe & Central Asia,0,0.5,0.5,1,0.5,0,0,0.5,0.5,0.5,0.5,0,-,1,1,1,-,DK,7.5
Botswana,BWA,Upper middle income,AFRO,Sub-Saharan Africa,ND,0,ND,ND,0.5,0,0,0.5,1,0,0.5,ND,ND,ND,ND,ND,ND,ND,2.5
Brazil,BRA,Upper middle income,PAHO,Latin America & Caribbean,1,1,1,1,0,1,1,1,0.5,1,0.5,1,1,1,1,1,1,0.5,15.5
Brunei Darussalam,BRN,High income,WPRO,East Asia & Pacific,1,0.5,1,0.5,0.5,1,1,0.5,1,1,1,0,0,0,0,1,1,1,12
